"input_region","input_sector","input_num","output_region","output_sector","value","output_num","input_label","output_label"
"EU","Animal Farming",2,"RoW","Transport",2.30304681249432e-06,42,"Animal Farming","Transport"
"EU","Animal Farming",2,"RoW","KIBS",3.86719631916746e-06,43,"Animal Farming","Professional Services"
"EU","Animal Farming",2,"RoW","Real.estate.activities.(70)",7.61327429010813e-06,44,"Animal Farming","Real Estate"
"EU","Animal Farming",2,"RoW","Renting.of.machinery.and.equipment.without.operator.and.of.personal.and.household.goods.(71)",3.02176718680785e-05,45,"Animal Farming","Machine, Equipment Renting"
"EU","Animal Farming",2,"RoW","Research.and.development.(73)",1.47074725613009e-05,46,"Animal Farming","R&D"
"EU","Animal Farming",2,"RoW","Public.administration.and.defence;.compulsory.social.security.(75)",2.66782916824149e-06,47,"Animal Farming","Public Administration, Defence"
"EU","Animal Farming",2,"RoW","Education.(80)",3.11265311470752e-05,48,"Animal Farming","Education"
"EU","Animal Farming",2,"RoW","Health.and.social.work.(85)",1.41844148345968e-05,49,"Animal Farming","Health, Social Work"
"EU","Animal Farming",2,"RoW","Incineration.of.Waste",2.0632030091654e-06,50,"Animal Farming","Waste Incineration"
"EU","Animal Farming",2,"RoW","Biogas.&.Composting",2.11280437471601e-06,51,"Animal Farming","Biogas, Composting"
"EU","Animal Farming",2,"RoW","Waste.water",3.11010220062682e-06,52,"Animal Farming","Waste Water"
"EU","Animal Farming",2,"RoW","Landfill.of.Waste",2.28156129524975e-06,53,"Animal Farming","Waste Landfill"
"EU","Animal Farming",2,"RoW","Other.Services",3.70498512974026e-05,54,"Animal Farming","Other Services"
"EU","Forestry, logging and related service activities (02)",3,"EU","Agriculture",0.000409250734444172,1,"Forestry, Logging","Agriculture"
"EU","Forestry, logging and related service activities (02)",3,"EU","Animal.Farming",0.00176710344416065,2,"Forestry, Logging","Animal Farming"
"EU","Forestry, logging and related service activities (02)",3,"EU","Forestry,.logging.and.related.service.activities.(02)",0.217308294156253,3,"Forestry, Logging","Forestry, Logging"
